Date,Open,High,Low,Close,Gain,% Gain
10/3/2019,2885.38,2911.13,2855.94,2910.63,25.25,0.0088
10/4/2019,2918.56,2953.74,2918.56,2952.01,33.45,0.0115
10/7/2019,2944.23,2959.75,2935.68,2938.79,-5.44,-0.0018
10/8/2019,2920.40,2925.47,2892.66,2893.06,-27.34,-0.0094
10/9/2019,2911.10,2929.32,2907.41,2919.40,8.30,0.0029
10/10/2019,2918.55,2948.46,2917.12,2938.13,19.58,0.0067
10/11/2019,2963.07,2993.28,2963.07,2970.27,7.20,0.0024
10/14/2019,2965.81,2972.84,2962.94,2966.15,0.34,0.0001
10/15/2019,2973.61,3003.28,2973.61,2995.68,22.07,0.0074
10/16/2019,2989.68,2997.54,2985.20,2989.69,0.01,0.0000
10/17/2019,3000.77,3008.29,2991.79,2997.95,-2.82,-0.0009
10/18/2019,2996.84,3000.00,2976.31,2986.20,-10.64,-0.0036
10/21/2019,2996.48,3007.33,2995.35,3006.72,10.24,0.0034
10/22/2019,3010.73,3014.57,2995.04,2995.99,-14.74,-0.0049
10/23/2019,2994.01,3004.78,2991.21,3004.52,10.51,0.0035
10/24/2019,3014.78,3016.07,3000.42,3010.29,-4.49,-0.0015
10/25/2019,3003.32,3027.39,3001.94,3022.55,19.23,0.0064
10/28/2019,3032.12,3044.08,3032.12,3039.42,7.30,0.0024
10/29/2019,3035.39,3047.87,3034.81,3036.89,1.50,0.0005
10/30/2019,3039.74,3050.10,3025.96,3046.77,7.03,0.0023
10/31/2019,3046.90,3046.90,3023.19,3037.56,-9.34,-0.0031
11/1/2019,3050.72,3066.95,3050.72,3066.91,16.19,0.0053
11/4/2019,3078.96,3085.20,3074.87,3078.27,-0.69,-0.0002
11/5/2019,3080.80,3083.95,3072.15,3074.62,-6.18,-0.0020
11/6/2019,3075.10,3078.34,3065.89,3076.78,1.68,0.0005
11/7/2019,3087.02,3097.77,3080.23,3085.18,-1.84,-0.0006
11/8/2019,3081.25,3093.09,3073.58,3093.08,11.83,0.0038
11/11/2019,3080.33,3088.33,3075.82,3087.01,6.68,0.0022
11/12/2019,3089.28,3102.61,3084.73,3091.84,2.56,0.0008
11/13/2019,3084.18,3098.06,3078.80,3094.04,9.86,0.0032
11/14/2019,3090.75,3098.20,3083.26,3096.63,5.88,0.0019
11/15/2019,3107.92,3120.46,3104.60,3120.46,12.54,0.0040
11/18/2019,3117.91,3124.17,3112.06,3122.03,4.12,0.0013
11/19/2019,3127.45,3127.64,3113.47,3120.18,-7.27,-0.0023
11/20/2019,3114.66,3118.97,3091.41,3108.46,-6.20,-0.0020
11/21/2019,3108.49,3110.11,3094.55,3103.54,-4.95,-0.0016
11/22/2019,3111.41,3112.87,3099.26,3110.29,-1.12,-0.0004
11/25/2019,3117.44,3133.83,3117.44,3133.64,16.20,0.0052
11/26/2019,3134.85,3142.69,3131.00,3140.52,5.67,0.0018
11/27/2019,3145.49,3154.26,3143.41,3153.63,8.14,0.0026
11/29/2019,3147.18,3150.30,3139.34,3140.98,-6.20,-0.0020
12/2/2019,3143.85,3144.31,3110.78,3113.87,-29.98,-0.0095
12/3/2019,3087.41,3094.97,3070.33,3093.20,5.79,0.0019
12/4/2019,3103.50,3119.38,3102.53,3112.76,9.26,0.0030
12/5/2019,3119.21,3119.45,3103.76,3117.43,-1.78,-0.0006
12/6/2019,3134.62,3150.60,3134.62,3145.91,11.29,0.0036
12/9/2019,3141.86,3148.87,3135.46,3135.96,-5.90,-0.0019
12/10/2019,3135.36,3142.12,3126.09,3132.52,-2.84,-0.0009
12/11/2019,3135.75,3143.98,3133.21,3141.63,5.88,0.0019
12/12/2019,3141.23,3176.28,3138.47,3168.57,27.34,0.0087
12/13/2019,3166.65,3182.68,3156.51,3168.80,2.15,0.0007
12/16/2019,3183.63,3197.71,3183.63,3191.45,7.82,0.0025
12/17/2019,3195.40,3198.22,3191.03,3192.52,-2.88,-0.0009
12/18/2019,3195.21,3198.48,3191.14,3191.14,-4.07,-0.0013
12/19/2019,3192.32,3205.48,3192.32,3205.37,13.05,0.0041
12/20/2019,3223.33,3225.65,3216.03,3221.22,-2.11,-0.0007
12/23/2019,3226.05,3227.78,3222.30,3224.01,-2.04,-0.0006
12/24/2019,3225.45,3226.43,3220.51,3223.38,-2.07,-0.0006
12/26/2019,3227.20,3240.08,3227.20,3239.91,12.71,0.0039
12/27/2019,3247.23,3247.93,3234.37,3240.02,-7.21,-0.0022
12/30/2019,3240.09,3240.92,3216.57,3221.29,-18.80,-0.0058
12/31/2019,3215.18,3231.72,3212.03,3230.78,15.60,0.0049
1/2/2020,3244.67,3258.14,3235.53,3257.85,13.18,0.0041
1/3/2020,3226.36,3246.15,3222.34,3234.85,8.49,0.0026
1/6/2020,3217.55,3246.84,3214.64,3246.28,28.73,0.0089
1/7/2020,3241.86,3244.91,3232.43,3237.18,-4.68,-0.0014
1/8/2020,3238.59,3267.07,3236.67,3253.05,14.46,0.0045
1/9/2020,3266.03,3275.58,3263.67,3274.70,8.67,0.0027
1/10/2020,3281.81,3282.99,3260.86,3265.35,-16.46,-0.0050
1/13/2020,3271.13,3288.13,3268.43,3288.13,17.00,0.0052
1/14/2020,3285.35,3294.25,3277.19,3283.15,-2.20,-0.0007
1/15/2020,3282.27,3298.66,3280.69,3289.29,7.02,0.0021
1/16/2020,3302.97,3317.11,3302.82,3316.81,13.84,0.0042
1/17/2020,3323.66,3329.88,3318.86,3329.62,5.96,0.0018
1/21/2020,3321.03,3329.79,3316.61,3320.79,-0.24,-0.0001
1/22/2020,3330.02,3337.77,3320.04,3321.75,-8.27,-0.0025
1/23/2020,3315.77,3326.88,3301.87,3325.54,9.77,0.0029
